web-scraper-order,web-scraper-start-url,PubLink,Link,Name,Coordinates,Photo
1560182317-75,https://en.wikipedia.org/wiki/List_of_pubs_in_London,"Freemasons Arms, Covent Garden","https://en.wikipedia.org/wiki/Freemasons_Arms,_Covent_Garden",Covent Garden,51.512°N 0.123456°W,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Map_of_Covent_Garden.png/220px-Map_of_Covent_Garden.png
1560182232-22,https://en.wikipedia.org/wiki/List_of_pubs_in_London,"Pillars of Hercules, Soho","https://en.wikipedia.org/wiki/Pillars_of_Hercules,_Soho","Pillars of Hercules, Soho",51.514558°N 0.131176°W,
1560182260-40,https://en.wikipedia.org/wiki/List_of_pubs_in_London,"The Warrington, Maida Vale","https://en.wikipedia.org/wiki/The_Warrington,_Maida_Vale","The Warrington, Maida Vale",51.5272°N 0.1831°W,//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Warrington_Hotel%2C_Maida_Vale%2C_W9_%2813583485914%29.jpg/220px-Warrington_Hotel%2C_Maida_Vale%2C_W9_%2813583485914%29.jpg
1560182228-20,https://en.wikipedia.org/wiki/List_of_pubs_in_London,Sun and 13 Cantons,https://en.wikipedia.org/wiki/Sun_and_13_Cantons,Sun and 13 Cantons,51.512656°N 0.13660272°W,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Sun_and_13_Cantons%2C_Soho%2C_W1_%282711828596%29.jpg/220px-Sun_and_13_Cantons%2C_Soho%2C_W1_%282711828596%29.jpg
1560182541-224,https://en.wikipedia.org/wiki/List_of_pubs_in_London,Crocker's Folly,https://en.wikipedia.org/wiki/Crocker%27s_Folly,Crocker's Folly,51.5259°N 0.1749°W,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Crocker%27s_Folly%2C_August_2016_06.jpg/220px-Crocker%27s_Folly%2C_August_2016_06.jpg
1560182505-204,https://en.wikipedia.org/wiki/List_of_pubs_in_London,"The Shuckburgh Arms, Chelsea","https://en.wikipedia.org/wiki/The_Shuckburgh_Arms,_Chelsea","The Shuckburgh Arms, Chelsea",51.4939°N 0.1647°W,
1560182421-145,https://en.wikipedia.org/wiki/List_of_pubs_in_London,The Tabard,https://en.wikipedia.org/wiki/The_Tabard,The Tabard,51.50389°N 0.08972°W,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Tabard_inn_mid19th.jpg/220px-Tabard_inn_mid19th.jpg
1560182427-150,https://en.wikipedia.org/wiki/List_of_pubs_in_London,"Lord Nelson, Bermondsey","https://en.wikipedia.org/wiki/Lord_Nelson,_Bermondsey","Lord Nelson, Bermondsey",51.486739°N 0.074239860°W,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Lord_Nelson%2C_Walworth%2C_SE1_%282512648048%29.jpg/220px-Lord_Nelson%2C_Walworth%2C_SE1_%282512648048%29.jpg
1560182415-142,https://en.wikipedia.org/wiki/List_of_pubs_in_London,The Blind Beggar,https://en.wikipedia.org/wiki/The_Blind_Beggar,The Blind Beggar,51.5200°N 0.0569°W,
1560182748-347,https://en.wikipedia.org/wiki/List_of_pubs_in_London,The Fortune of War Public House,https://en.wikipedia.org/wiki/The_Fortune_of_War_Public_House,The Fortune of War (public house),51.51716°N 0.10157°W,
